"012. Arbres - Plantation ou remplacement d’un arbre
",Demande d’informations concernant la plantation d’un nouvel arbre (privé ou en emprise)," Subvention – plantation d’arbres  https://www.laval.ca/Pages/Fr/Citoyens/subvention-plantation-arbres.aspx ,  Arbres en emprise  https://www.laval.ca/Pages/Fr/Citoyens/arbres-emprise.aspx ,  Règlementation relatif aux arbres (PDF)  https://www.laval.ca/Documents/Pages/Fr/Citoyens/environnement-recyclage-et-collectes/reglements-arbre-modifications.pdf ,  subvention pour la plantation d'un nouvel arbre https://www.laval.ca/Pages/Fr/Citoyens/subvention-plantation-arbres.aspx ,  Arbres en emprise  %09https:/www.laval.ca/Pages/Fr/Citoyens/arbres-emprise.aspx , ","Planifiez-vous une plantation suivant l’obtention d’un permis d’abattage?
Si vous planifiez planter un arbre en façade de votre maison, ou sur le côté, êtes-vous en mesure de bien identifier votre emprise afin de ne rien planter dans la partie appartenant à la ville?
Êtes-vous en attente de la ville pour planter un arbre de remplacement en emprise suivant un abattage?
","
Subvention pour la plantation d'un nouvel arbre :
La Ville de Laval offre une  ​sur les terrains des citoyens. Consultez le site Internet en cliquant sur « Citoyens » dans le menu principal du haut, et ensuite sur « Subventions et programmes », pour connaître :
les conditions d’admissibilité
les espèces recommandées et les arbres non admissibles
la procédure de demande de subvention, etc.

Si l'arbre est planté en remplacement d'un arbre abattu (à la suite de l'obtention d'un certificat d'autorisation d'abattage), la date limite de plantation doit être respectée pour avoir droit à la subvention. Celle-ci est toujours inscrite en bas du permis, au-dessus de la signature du directeur du Service des travaux publics ou son représentant autorisé. 


Plantation d’un arbre à la suite d’une nouvelle construction :
Se référer à l’article « Construction d’une maison neuve – obligations » de la banque d’information.


Plantation d’arbres en emprise ou sur un terrain public :
Définition d’emprise : l’emprise représente la portion de terrain adjacente à une voie publique située sur une propriété, mais appartenant à la Ville. La largeur varie d'un terrain à l'autre : elle peut être nulle ou avoir plus de 10 mètres.​ Référez-vous à votre certificat de localisation pour obtenir une mesure précise. Pour plus d'information, visitez le environnement.laval.ca, catégorie « Arbres », onglet « ». 

Seule la Ville de Laval est responsable de la plantation des arbres situés dans l’emprise publique, du choix de l’emplacement et de l’espèce d’arbre à planter. Les mêmes restrictions s’appliquent sur les terrains publics tels que les terre-pleins et les parcs.

Délais d’intervention : En raison d’un volume important d’arbre en emprise nécessitant une intervention, il est impossible pour la ville d’indiquer un délai ou une date à laquelle elle interviendra pour planter un arbre en emprise. Le délai de traitement d’une demande peut être de plusieurs mois, voire plus d’un an.  

Le citoyen N’A PAS à entretenir l’arbre planté dans l’emprise. Il ne doit pas tailler ou couper l’arbre en emprise.

Des constats d’infractions peuvent être émis aux citoyens qui empêchent la plantation d’un arbre en emprise ou s’ils endommagent un arbre de la ville.

","Remplacement d’un arbre, plantation, nouvel arbre, subvention, plan, plantage, reboisement, emprise, restrictions, choix d’arbres", Foresterie – Janie Jette,26/07/2017,29-01-2018
"016. Déneigement – Normes d’opérations 
","Informations d’ordre général entourant les activités de déneigement : stratégie neige, suivi des opérations, ordre des priorités
 "," Info-déneigement https://www.laval.ca/Pages/Fr/Citoyens/info-deneigement.aspx ,  Foire aux questions - Déneigement https://www.laval.ca/Pages/Fr/Citoyens/faq-travaux-publics.aspx ,  Stratégie neige https://www.laval.ca/Documents/Pages/Fr/Citoyens/transport-deneigement-et-travaux/strategie-neige-2015.pdf ,  neige.laval.ca https://www.laval.ca/Pages/Fr/Citoyens/info-deneigement.aspx , ",,"Consultez la  de la Ville de Laval  pour connaître les normes opérationnelles ainsi que les délais par activité de déneigement (chargement de la neige, soufflage, tassement, déglaçage, épandage, etc.) pour l’ensemble des chaussées et des trottoirs.

Également, visitez le  pour toutes les informations nécessaires sur : 
les opérations en cours
l’ordre des priorités
les réponses aux questions les plus fréquemment posées 

Bon à savoir :
Les employés municipaux ont la responsabilité de dégager les voies de circulation afin que les véhicules d’urgence et tout autre usagé puissent y circuler. La responsabilité de dégager les accès aux allées de stationnement et passages piétonniers des résidences privées revient aux citoyens.
","Déneigement, neige, déblaiement, stratégie neige, opérations de déneigement, dépôt de neige, banc de neige, tempête de neige, soufflage, épandage, déglaçage, sel, abrasifs, abri d’auto, sécurité des usagers, trottoir glacé, rue glacée, patinoire, sloche, gadoue 
",Julie Nicol ,27-06-2018,
"034. Éclairage - Parcs et bâtiments municipaux
","Demande d’intervention pour réparer ou ajouter un lampadaire, ou pour remplacer une lampe brûlée (relampage) dans un parc (berge, halte, plateau sportif) ou sur les lieux d’un bâtiment municipal."," Carte de géolocalisation  http://www.ville.laval.qc.ca/geo/geoweb/?config=citoyen311 , ","- Précisez l’endroit (Quel parc? Quel plateau? etc.)
- Donner un point de repère, à côté du banc, ….
- Détaillez le besoin ou la problématique
","
Toute demande d’entretien, de réparation ou d’intervention liée à un éclairage incommodant situé dans un parc ou autre terrain municipal (ex. : une lumière intrusive, qui entre dans la maison) sera adressée au service concerné. Une intervention aura lieu dans un délai d’environ 20 jours.

Certaines situations plus urgentes nécessiteront une intervention dans les 24 prochaines heures. Par exemple : s’il s’agit de fils à découvert, d’heures d’opération inadéquates sur les plateaux sportifs (ex. : lumières qui se ferment avant une activité sportive planifiée), d’un lampadaire accidenté, etc. 

Les demandes d’ajout d’éclairage dans les passages piétonniers, les parcs ou autres lieux municipaux feront l’objet d’une évaluation, généralement dans le mois suivant la demande. Si l’ajout s’avère souhaitable et possible, des travaux auront lieu dans un délai d’environ 6 à 24 mois dépendamment de divers facteurs, comme les conditions météorologiques et la collaboration nécessaire ou non d’Hydro-Québec.

Pour les parcs et sentiers piétonniers existants, les éléments suivants seront évalués : l’accessibilité, la faisabilité, les couts, la sécurité des citoyens.
Pour les nouveaux parcs et sentiers piétonniers. Les besoins en éclairage seront évalués au moment de la conception : Plan directeur des espaces verts en rédaction au TP
     est-ce qu’on prévoit faire des évènements (ES) dans ce parc
     est-ce que des décorations lumineuses sont prévues?
     est-ce que des décorations lumineuses sont prévues?




Bon à savoir :
Aucun aménagement n’a lieu pendant la saison hivernale.


","Lumière brûlée, lumière insuffisante, lumière qui clignote, lampadaire, spot, spot light, lampe, lumière qui dérange, source lumineuse, éclairement, éclairage mal dirigé, minuterie, synchronisation, faisceau lumineux, rayon de lumière
",Sophie Lessard - GI ,12-10-2018,
"036. Fossé – remplissage ou canalisation
","Demande pour remplir ou canaliser un fossé situé en bordure de la rue ou sur un terrain
 ",,"S’agit-il du fossé en parallèle de la rue, donc quelques pieds en retrait du pavage (fossé de drainage de rue), OU d’un fossé s’apparentant à un ruisseau qui serpente/traverse/circule sur un terrain privé?
","
Fossé en parallèle de la rue :
Il est interdit de remplir ou canaliser les fossés de rue, à l’exception d’une canalisation partielle pour l’aménagement spécifique d’une entrée de stationnement dont les travaux sont autorisés et conformes à la règlementation du Service de l’urbanisme.

Remplissage ou canalisation de ruisseau sur un terrain privé :
Toute demande de remplissage ou canalisation de ruisseau sur un terrain privé doit être évaluée par le Service de l’urbanisme (en ce qui concerne les travaux d’aménagement du terrain) et le Service de l’environnement (en ce qui concerne…)

La décision de pouvoir remplir un fossé ou non dépend de plusieurs facteurs évalués par nos experts du Service de l’environnement, de l’ingénierie ou de l’urbanisme. Parmi ces facteurs :
le terrain est-il situé dans un milieu humide
quels travaux d’aménagement sont prévus? (l’obtention d’un permis nécessaire?)
drainage possible?
Etc. à compléter par les services


Milieu sensible : cours d’eau, milieu, boisé d’intérêt à proximité

Dénonciation - Remplissage ou obstruction d’un fossé en bordure de rue :
L’information sera transmise à l’équipe concernée. … à compléter…

Notez qu’un constat d’infraction peut être émis au contrevenant si des éléments de preuve sont notés à la plainte. 


Bon à savoir :
Pour en savoir plus sur les opérations de tonte du gazon, incluant dans un fossé, consultez l’article intitulé « Herbe et gazon long - Terrain municipal » de la banque d’information.


","Ruisseau, fossés, cour d’eau, fossé de ligne, ditch, calvette,  
","Nom – service
Nom – service ",26/07/2017,
"037. Aménagement des gouttières
","Demande d’informations sur l’aménagement des gouttières, notamment à la suite d'une visite d’un inspecteur ou la réception d’un avis concernant l’aménagement de leurs gouttières. 
 "," Page Internet - Débranchement de gouttières https://www.laval.ca/Pages/Fr/Citoyens/gouttiere.aspx ,  Programme de débranchements de gouttières https://www.laval.ca/Documents/Pages/Fr/Citoyens/reglements/reglements-et-permis/debranchement-gouttieres.pdf ,  https://www.laval.ca/Pages/Fr/Citoyens/gouttiere.aspx https://www.laval.ca/Pages/Fr/Citoyens/gouttiere.aspx ,  https://www.laval.ca/Pages//Fr/Citoyens/baril-de-recuperation-deau-de-pluie.aspx https://www.laval.ca/Pages//Fr/Citoyens/baril-de-recuperation-deau-de-pluie.aspx , ","Avez-vous reçu un avis?
Est-ce que cet avis vous recommande d’apporter des modifications? 
","
Programme de débranchement de gouttières : 
Visitez le reglements.laval.ca, et sous l’onglet « Aménagement du terrain et construction accessoire » consultez le programme de Débranchement de gouttières lancé par la Ville de Laval en 2014, dont l’objectif est d'encourager les bonnes pratiques de gestion des eaux de pluie.  :   

Vous y trouverez de l’information au sujet :
des types de branchements conformes ou non
des solutions proposées
des visites des inspecteurs de la Ville afin d’aider les citoyens dans leur démarche pour se conformer à la réglementation municipale, etc.

Bon à savoir : 
Les gouttières qui se déversent sur une surface imperméable (asphalte, béton) directement vers la rue augmentent la sollicitation de nos réseaux de drainage et créer une augmentation trop rapide du niveau d’eau de nos cours d’eau.

La ville de Laval souhaite informer et sensibiliser les propriétaires sur les normes des branchements de gouttières. Actuellement, aucune amende n’est donnée pour les installations non conformes. Toutefois, un suivi est fait et le résultat des inspections est répertorié.

Subvention pour l'achat d'un baril de récupération d'eau de pluie :
La Ville de Laval vous offre une subvention pour l'achat d'un baril de récupération d'eau de pluie. Cette subvention correspond au montant de cet achat avant taxes, jusqu'à un maximum de 70 $. Pour plus d’informations à ce sujet, visitez notre site web :  

","Dalle, downmspout, branchements d’aqueduc, branchement d’égouts, drainage, gestion des eaux, pluie, écoulement des eaux de pluie, système de récupération d’eau de pluie, modèles de descentes
","Philippe Guilbeault, Ingénierie ",13-02-2018,
"038. Feux de circulation 
",Demande d’information ou d’intervention liée à la réparation ou à la configuration des feux de circulation.," Site Internet - Feux de circulation sonores https://www.laval.ca/Pages/Fr/Citoyens/feux-de-circulation-sonores.aspx ,  en ligne https://www.transports.gouv.qc.ca/fr/nous-joindre/Pages/nous-joindre.aspx ,  Visitez notre site Internet pour découvrir à quels endroits et savoir comment suggérer de nouveaux endroits https://www.laval.ca/Pages/Fr/Citoyens/feux-de-circulation-sonores.aspx ,  selon le Code de la sécurité routière https://saaq.gouv.qc.ca/securite-routiere/moyens-deplacement/a-pied/ce-que-dit-la-loi/ , ","- La situation est-elle potentiellement dangereuse : feux accidentés, fil à découvert, luminaire suspendue, etc.?
- Sinon, quelle est la nature de la problématique? (ex. : la configuration semble défectueuse)","
Situation potentiellement dangereuse :
Si l’une des situations suivantes se présente, une intervention rapide (dans les 12 h) sera assurée par l’équipe responsable, soutenue au besoin par les services d’urgence :
les feux ont été accidentés
les feux sont éteints ou clignotent
la configuration des feux semble défectueuse : les feux ne changent pas ou changent trop rapidement
un luminaire est pendu
un fil est à découvert, etc.

NOTE : Si le problème survient en période achalandée ou à l’approche des heures de pointe, contactez le 911. Dans tous les cas, le Service de police peut venir en aide pour assurer le respect du Code de la sécurité routière et de la sécurité des usagers. 

Bris non urgent :
Les demandes d’intervention pour un bris non urgent (ex. : un bouton pressoir brisé ou une lumière brûlée, mais dont le feu de circulation fonctionne toujours) sont généralement traitées à l’intérieur d’environ trois semaines. 

Feux sous la responsabilité du ministère des Transports du Québec :
Certains feux de circulation situés à proximité des autoroutes relèvent du ministère des Transports du Québec (MTQ). Pour une demande concernant ces feux, communiquez avec le MTQ en composant le 511 ou  sur le site Internet.

La liste des feux de circulation relevant du MTQ :
Avenue des Bois (Route 148) / Boulevard Arthur-Sauvé
Avenue des Bois (Route 148) / Rue Principale
Avenue des Bois (Route 148) / Montée Champagne
Bretelles d'accès de l'A-15 / Boulevard Curé-Labellle
Autoroute Papineau (A-19) / Boulevard Dagenais Est
Avenue Papineau / Rue Saint-Saëns Est
Avenue Papineau / Boulevard des Mille-Îles
Avenue Papineau / Terrasse Brissette
Bretelles d'accès de l'A-440 / Montée Masson

La synchronisation des feux :
À Laval, tous les feux de circulation sont équipés de boucle de détection qui prolonge ou active certaines phases, selon la présence ou non de véhicules dans les directions opposées ou voies de virages protégées. Nous n’avons pas de feux de circulation qui fonctionne par minuterie fixe.

Bon à savoir :
À Laval, 18 feux de circulation sonores (émission d’un signal pour indiquer aux personnes ayant une limitation visuelle le bon moment pour traverser une intersection) sont implantés à des intersections névralgiques. .
Il n'y a aucun feu de circulation prioritaire pour les piétons sur le territoire de Laval. Par contre, , ces derniers ont toujours la priorité au feu vert.
Le bouton-poussoir utilisé par les piétons pour traverser une intersection de rue ne sert pas à raccourcir le temps du feu vert de l'artère à traverser, mais bien à prolonger la phase de traverse des marcheurs. 
Nous vous invitons à consulter et respecter les normes de sécurité routière en tout temps. Par exemple, lorsque les feux de signalisation indiquent un feu jaune clignotant, cela indique que l’automobiliste peut traverser, mais avec vigilance. Rappelons qu’un feu rouge qui clignote doit être considéré comme l'équivalent d'un panneau d'arrêt et requiert un arrêt complet obligatoire. Il est en de même pour les feux de circulation complètement éteints (ex. lors de panne de courant).

Pour cette raison, nul besoin d’installer systématiquement des panneaux d’arrêt obligatoire temporaires en attendant que la situation soit rétablie.
","Lumières, lumières de circulation, lumières qui flash, clignotement, lumière trop longue, chronométrage des feux, coordination des feux de signalisation
",Sophie Lessard - GI   ,26/07/2017,
"048. Projet domiciliaire, industriel ou commercial 
","Demande d’informations sur les types de travaux et de construction à venir, ou sur le constructeur/entrepreneur.",,"Préciser l’endroit 
S’agit-il d’une urgence?
S’agit-il de travaux de construction d’un bâtiment ou plutôt d’une rue? 
La requête concerne-t-elle une situation en périphérie du chantier? (préciser le lieu et depuis combien temps la problématique est observée (s’il y a lieu)? ","Lors du début d’un chantier de nouvelle rue, des questions nous sont adressées pour connaitre la nature du chantier, sa vocation, le type de construction en rive de la future rue, si c’est possible de contacter le constructeur. Le chantier peut aussi susciter des plaintes de bruit, de poussière ou de circulation
Bon à savoir :
À compléter au besoin. Éléments de réponses pas directement liés, mais complémentaires et pertinents.
"," Nuisance, bruit, poussière, obstruction à la circulation, excavation dangereuse, machinerie près des enfants, promoteur, vendeur, 

","Nom – service
Nom – service ",26/07/2017,
"049. Excavation sur un terrain résidentiel, commercial ou industriel
","À quoi va répondre cette fiche? Résumer en 1 ou 2 phrases le sujet
Qu’est-ce que le citoyen ou le constructeur veut savoir à ce sujet?",,"À compléter… questions pour mieux documenter la requête et/ou pour mieux adapter notre réponse.

","À compléter…
Qu’est-ce que le citoyen veut savoir en général sur ce sujet? Ajouter les éléments de réponses pertinents.

Même si l’intervention du service expert est nécessaire :  quelles informations peut être prise et données en 1ère ligne pour faciliter le suivi en 2e ligne, et pour mieux informer le citoyen des étapes et délais à venir?


Bon à savoir :
À compléter au besoin. Éléments de réponses pas directement liés, mais complémentaires et pertinents.
"," Texte, texte, texte
","Nom – service
Nom – service ",26/07/2017,
"050. Panneaux de signalisation  
",Demande d’intervention pour l’entretien/la réparation de la signalisation existante OU d’ajout d’une signalisation ," Société de transport de Laval https://www.stl.laval.qc.ca/fr/nous-joindre/ , ","A quel endroit précisément se trouve la signalisation en question? (adresse, intersection, commerce à proximité ou autre point de repère)
De quel type de signalisation/panneau s’agit-il? (arrêt, cul de sac, limite de vitesse, etc.)
Pour un ajout : 
Quelle problématique motive la demande? Depuis quand est-ce observé? La problématique a-t-elle lieu à un moment précis de la semaine ou de la journée?
Pour une réparation/entretien:
S’il s’agit d’un poteau : est-il tombé, couché par terre, incliné? L’est-il suite à un accident?
Est-il illisible, trop pâle, brisé, disparu? 
","
Entretien/réparation d’un panneau de signalisation :
S’il s’agit d’un panneau ARRÊT : s’il est tombé ou menace de tomber, le service concerné sera immédiatement informé afin qu’une intervention soit réalisée rapidement, soit dans un délai d’approximativement 6 heures.

S’il s’agit d’un problème de visibilité, consultez l’article intitulé « visibilité obstruée par la végétation » dans la banque d’information.

Tout autre type de signalisation : l’information sera transmise au service concerné et une intervention aura lieu généralement dans les 20 prochains jours. Toutefois, selon le degré d’urgence de la situation et selon la description de la problématique et de l’emplacement du panneau, une intervention pourrait avoir lieu avant ce délai.

Demande d’ajout d’une signalisation routière:
La demande sera acheminée au Service de l’ingénierie pour une analyse préliminaire. À l’intérieur de quelques jours, soit environ 5 jours ouvrables, un employé de cette équipe sera en mesure de vous informer des possibilités de modification ou non.

Une expertise plus détaillée pourrait être nécessaire. Si c’est le cas, le délai de traitement sera variable et directement lié au niveau de sécurité identifiée. 

Avant de confirmer la mise en place d’une nouvelle signalisation, une analyse des rues avoisinantes, une vérification des normes de sécurité routière en place, un comptage des véhicules, etc., doit être effectuée.

Pour qu’une signalisation particulière soit installée (c’est-à-dire autre que la signalisation routière régulière), la demande sera évaluée par le service concerné. S’il est entendu de procéder à l’installation d’un type de signalisation non existant, des délais plus importants sont à prévoir (jusqu’à 3 mois) en raison de sa fabrication.  
 
Bon à savoir :
L’ensemble de la signalisation est mise à jour régulièrement et le service de l’ingénierie ajuste celle-ci en fonction des nouveaux besoins ou problématiques identifiées.

En période estivale, des courses de vélo ont lieu tous les mercredis soirs dans les rues Châtelier, Michelin et Delaunay. Une signalisation amovible reste en place tout au long de la période visée.

Les demandes concernant la signalisation d’arrêts d’autobus et les zones d’arrêt interdit pour autobus doivent être adressées à la . Joignez-les au 450 688-6520.

Si la demande est liée à de la signalisation entourant un chantier de construction, consultez l’article intitulé « Signalisation de chantier : insuffisante, manquante ou absence de travaux » dans la banque d’information.

Une hauteur libre de 7 pieds est habituellement laissée sous les panneaux de signalisation.
","Arrêt, Stop, limite de vitesse, panneau, poteau, écriture illisible, oriflamme, enseigne, pancarte, cul de sac, attention aux hameçons, poteau accidenté, no parking, passage piéton, attention à nos enfants

","Sophie Lessard – Gestion des immeubles  
Philippe Guilbeault - Ingénierie",08-01-2019,
"051. Panneaux de signalisation : ajout ou changement
","Demande d’un nouveau panneau ou d’un changement à la signalisation existante. 
",,"- Précisez le lieu
- Précisez le type de signalisation/panneau (arrêt, cul de sac, limite de vitesse, etc.)
- Détaillez la problématique motivant la demande : depuis quand est-ce observé? La problématique a-t-elle lieu à un moment précis de la semaine ou de la journée?

Si on parle d’ajout et d’entretien d’une signalisation autre que ceux énumérées ci haut (attention aux hameçons, signalisation de parc, heure d’opération des piscines, respect des règlements, cul de sac, déchet …), précisez le type de panneau.
","
La demande sera acheminée au Service de l’ingénierie pour une analyse préliminaire. À l’intérieur de 2 à 3 jours, ils pourront vous informer des possibilités de modifications ou non.

Si une expertise plus détaillée est nécessaire, le délai de traitement est variable et est directement lié au niveau de sécurité identifiée. 

Avant de confirmer la mise en place d’une nouvelle signalisation, une analyse des rues avoisinantes, une vérification des normes de sécurité routière en place, un comptage des véhicules, etc., doit être effectuée.

Bon à savoir :
L’ensemble de la signalisation est mise à jour régulièrement et le service de l’ingénierie ajuste celle-ci en fonction des nouveaux besoins ou problématiques identifiées.
","Panneau, signalisation, stop, no parking, passage piéton, attention à nos enfants, attention aux hameçons, signalisation de parc, heure d’opération des piscines, respect des règlements, cul de sac
","Philippe Guilbeault - Ingénierie
",14-03-2018,
"052. Borne-fontaine : demande de déplacement 
",Demande de déplacement d’une borne-fontaine,,"- La rue est-elle en construction ou en reconstruction?
- Devra-t-elle être déplacée devant un voisin?
- Est-ce votre première demande à cet effet? ","
La ville peut parfois déplacer ses bornes-fontaines à la demande et aux frais des demandeurs. 

Procédures/étapes :
Une demande par écrit doit être acheminée au Service de l’ingénierie. 
Si la demande implique de déplacer la borne-fontaine sur le terrain d'un voisin, ce dernier devra également confirmer son accord par écrit. 

Chaque demande fera l’objet d’une analyse. Il est parfois impossible sur le plan technique d’y donner suite.

Dans tous les cas, une personne du Service de l’ingénierie informera le citoyen de la décision dans un délai d’une semaine. Si la demande est approuvée, il lui communiquera également les coûts reliés à l’opération.

Coûts :
Les coûts de l’opération varient entre 5 000 $ et 15 000 $, selon la complexité des travaux. 
Par exemple : la rue pourrait être excavée de manière importante, puisqu’il n’est pas possible de simplement ajouter une extension pour déplacer une borne-fontaine. De plus, les travaux impliquent parfois d’autres intermédiaires que municipaux, comme Hydro-Québec.
"," borne d'incendie, hydrante, fire hydrant, fireplug 
",Philippe Guilbeault - Ingénierie ,13-04-2018,
